Name,Level,Category,Casting Time,Casting Cost,Range,Radius,Target,Damage,Duration,Defense,Applied Conditions
Balathor's Gift,0,Utility,1 AP,None,Touch,N/A,A point or surface,N/A,Until dismissed,N/A,N/A
Balathor's Jest,0,Offense,1 AP,None,Touch,N/A,One creature,1d4 Fire,Instantaneous,Dodge (dice pool + Reflex),N/A
Ellessien's Breath,0,Utility,1 AP,None,30 ft. (line of sight),N/A,"A 5 ft. square, person, creature, or object",N/A,Instantaneous,N/A,N/A
Ellessien's Ward,0,Defense,1 AP,None,Touch,N/A,One creature,N/A,Until consumed,N/A,N/A
Fog of War,0,Crowd Control,1 AP,None,30 ft. (line of sight),30 ft.,A location within range,N/A,Until dismissed,N/A,-4 Attack OC (all within area)
Malavard's Ward,0,Utility,1 AP,None,Touch,N/A,"One object, door, or window",N/A,Until dismissed,N/A,N/A
Nunor's Spring,0,Utility,1 AP,None,30 ft.,N/A,A point on the ground within range,N/A,Instantaneous,N/A,N/A
Elemental Bolt I,1,Offense,1 AP,1 Health,30 ft. (line of sight),N/A,One creature,"1d6 Fire, Ice, or Electric",Instantaneous,Dodge (dice pool + Reflex),N/A
Inoen's Balm,1,Healing,1 AP,1 Health,Touch,N/A,One creature,N/A,Instantaneous,N/A,N/A
Luniel's Garden,1,Crowd Control,1 AP,1 Health,30 ft. (line of sight),15 ft.,A point within range,N/A,Until dismissed,Dodge (dice pool + Reflex),Movement restricted (can still act)
Nunor's Ward,1,Defense,1 AP,1 Health,Self,10 ft.,All creatures within radius,N/A,Until dismissed,N/A,-2 Attack OC (enemies attacking within ward)
Tuvien's Thread,1,Utility,1 AP,1 Health,Touch,N/A,Two willing creatures,N/A,Until dismissed,N/A,N/A
Whisper Walk,1,Utility,1 AP,1 Health,30 ft. (line of sight),N/A,One creature,N/A,Until dismissed,N/A,N/A
Balathor's Brand,2,Offense,1 AP,2 Health,Touch,N/A,One creature,1d4 Fire (ongoing per turn),Until extinguished,Dodge (dice pool + Reflex),Ongoing fire damage
Elemental Bolt II,2,Offense,1 AP,2 Health,30 ft. (line of sight),N/A,One creature,"1d8 Fire, Ice, or Electric",Instantaneous,Dodge (dice pool + Reflex),N/A
Enduril's Binds,2,Crowd Control,1 AP,2 Health,30 ft. (line of sight),N/A,One creature,N/A,Concentration,Dodge (dice pool + Reflex),Incapacitated
Kerek's Cloak,2,Crowd Control,1 AP,2 Health,30 ft. (line of sight),30 ft.,A point within range,N/A,Until dismissed,N/A,Blinded (creatures within area relying on sight)
Solan's Light,2,Utility,1 AP,2 Health,30 ft. (line of sight),N/A,"One person, creature, or object",N/A,Until dismissed,N/A,N/A
Tuvien's Echo,2,Utility,1 AP,2 Health,Touch,N/A,One object or location,N/A,Instantaneous,N/A,N/A
Elemental Bolt III,3,Offense,1 AP,3 Health,30 ft. (line of sight),N/A,One creature,"1d10 Fire, Ice, or Electric",Instantaneous,Dodge (dice pool + Reflex),N/A
Inoen's Grace,3,Healing,1 AP,3 Health,Touch,N/A,One creature,N/A,Instantaneous,N/A,N/A
Nunor's Blessing,3,Utility,1 AP,3 Health,30 ft.,30 ft.,A point within range,N/A,Until dismissed,N/A,N/A
Ordred's Hammer,3,Offense,1 AP,3 Health,30 ft. (line of sight),N/A,"One person, creature, or object",4d6 Bludgeoning (unmitigated),1 round,None (auto-hit),N/A
Rasgard's Flying Bridge,3,Utility,1 AP,3 Health,120 ft.,N/A,Two points within range,N/A,Until dismissed,N/A,N/A
Solan's Glory,3,"Offense, Crowd Control",1 AP,3 Health,Self,30 ft.,All enemies within radius,N/A,2 rounds,Dodge (dice pool + Reflex),Blinded (2 rounds on failed defense)
Balathor's Mantle,4,Defense,1 AP,4 Health,Self,N/A,Self,1d8 Fire (melee attackers),Until dismissed,N/A,N/A
Elemental Bolt IV,4,Offense,1 AP,4 Health,30 ft. (line of sight),N/A,One creature,"1d12 Fire, Ice, or Electric",Instantaneous,Dodge (dice pool + Reflex),N/A
Inoen's Favor,4,Healing,1 AP,4 Health,Touch,N/A,One creature,N/A,Instantaneous,N/A,N/A
Luniel's Blessing,4,Utility,1 AP,4 Health,Self,N/A,Self,N/A,Special,N/A,N/A
Tuvien's Mercy,4,Healing,1 AP,4 Health,30 ft. (line of sight),N/A,One creature (died within the last round),N/A,1 hour,N/A,N/A
